dataset_id,name,rows,columns,uploaded_by,upload_date
DS-1124,Dataset_124,219901,49,analyst1,2024-08-17
DS-1125,Dataset_125,2535,19,it_admin,2025-12-13
DS-1126,Dataset_126,971489,29,it_admin,2024-03-30
DS-1127,Dataset_127,412511,14,analyst2,2024-03-30
DS-1128,Dataset_128,164050,47,cyber_admin,2024-09-06
DS-1129,Dataset_129,150947,47,cyber_admin,2025-01-25
DS-1130,Dataset_130,333046,40,data_scientist,2025-09-16
DS-1131,Dataset_131,166380,29,cyber_admin,2025-01-06
DS-1132,Dataset_132,601385,34,analyst1,2024-04-21
DS-1133,Dataset_133,50328,35,cyber_admin,2024-01-20
DS-1134,Dataset_134,348164,23,data_scientist,2025-09-30
DS-1135,Dataset_135,116554,23,it_admin,2024-06-05
DS-1136,Dataset_136,470896,48,it_admin,2024-01-25
DS-1137,Dataset_137,194160,18,it_admin,2025-02-21
DS-1138,Dataset_138,583240,5,cyber_admin,2024-12-19
DS-1139,Dataset_139,122141,30,data_scientist,2025-11-28
DS-1140,Dataset_140,176341,31,analyst1,2025-11-07
DS-1141,Dataset_141,528125,16,it_admin,2025-08-12
DS-1142,Dataset_142,418443,42,data_scientist,2024-01-21
DS-1143,Dataset_143,619987,33,data_scientist,2024-08-02
DS-1144,Dataset_144,558074,12,data_scientist,2025-02-14
DS-1145,Dataset_145,290581,26,analyst2,2025-08-21
DS-1146,Dataset_146,679185,37,analyst2,2024-05-25
DS-1147,Dataset_147,164679,50,data_scientist,2024-05-15
DS-1148,Dataset_148,414380,15,analyst1,2024-05-06
DS-1149,Dataset_149,271458,37,it_admin,2024-03-23
DS-1150,Dataset_150,350660,38,data_scientist,2024-03-16
DS-1151,Dataset_151,118124,30,it_admin,2025-10-24
DS-1152,Dataset_152,323801,26,it_admin,2025-07-01
DS-1153,Dataset_153,716930,22,it_admin,2024-03-14
DS-1154,Dataset_154,334752,9,analyst1,2024-02-12
DS-1155,Dataset_155,696680,34,analyst2,2025-03-30
DS-1156,Dataset_156,832277,41,analyst2,2024-10-14
DS-1157,Dataset_157,775887,10,cyber_admin,2024-05-07
DS-1158,Dataset_158,27173,16,analyst2,2025-02-09
DS-1159,Dataset_159,491309,46,analyst2,2024-02-24
DS-1160,Dataset_160,771654,42,analyst1,2024-08-18
DS-1161,Dataset_161,551716,38,cyber_admin,2024-02-15
DS-1162,Dataset_162,761264,27,analyst1,2024-02-08
DS-1163,Dataset_163,937454,33,analyst1,2024-02-28
DS-1164,Dataset_164,78783,22,analyst2,2024-03-29
DS-1165,Dataset_165,805049,21,analyst2,2025-11-05
DS-1166,Dataset_166,879969,22,it_admin,2024-12-28
DS-1167,Dataset_167,946587,24,data_scientist,2025-11-15
DS-1168,Dataset_168,870659,42,analyst2,2025-12-13
DS-1169,Dataset_169,998357,31,data_scientist,2025-04-03
DS-1170,Dataset_170,515707,11,analyst2,2024-12-22
DS-1171,Dataset_171,987598,11,it_admin,2025-12-01
DS-1172,Dataset_172,206823,17,analyst1,2024-04-19
DS-1173,Dataset_173,189785,29,cyber_admin,2025-04-29
DS-1174,Dataset_174,686577,16,it_admin,2024-12-25
DS-1175,Dataset_175,842951,49,it_admin,2024-04-21
DS-1176,Dataset_176,352922,40,analyst2,2025-05-10
DS-1177,Dataset_177,560167,42,analyst1,2024-12-09
DS-1178,Dataset_178,345150,33,it_admin,2025-11-24
DS-1179,Dataset_179,759631,5,cyber_admin,2025-03-09
DS-1180,Dataset_180,58150,30,cyber_admin,2024-06-23
DS-1181,Dataset_181,569936,45,analyst1,2025-11-02
DS-1182,Dataset_182,123094,36,analyst1,2024-12-01
DS-1183,Dataset_183,474124,16,it_admin,2025-10-11
DS-1184,Dataset_184,475066,33,data_scientist,2024-03-14
DS-1185,Dataset_185,392221,10,cyber_admin,2025-04-15
DS-1186,Dataset_186,14691,28,analyst2,2025-04-12
DS-1187,Dataset_187,543226,23,it_admin,2025-02-05
DS-1188,Dataset_188,517106,40,analyst1,2025-11-29
DS-1189,Dataset_189,923342,39,data_scientist,2024-06-14
DS-1190,Dataset_190,616854,23,analyst1,2025-04-17
DS-1191,Dataset_191,503275,5,it_admin,2025-10-24
DS-1192,Dataset_192,567895,26,cyber_admin,2025-09-19
DS-1193,Dataset_193,425559,38,cyber_admin,2025-07-21
DS-1194,Dataset_194,884377,28,analyst2,2025-05-19
DS-1195,Dataset_195,570152,26,analyst2,2025-04-19
DS-1196,Dataset_196,332721,20,it_admin,2025-01-28
DS-1197,Dataset_197,9171,22,it_admin,2025-11-18
DS-1198,Dataset_198,287639,28,it_admin,2025-02-26
DS-1199,Dataset_199,179775,31,it_admin,2024-05-09
DS-1200,Dataset_200,516544,10,analyst1,2024-02-15
DS-1201,Dataset_201,12123,29,analyst2,2024-12-10
DS-1202,Dataset_202,570758,35,it_admin,2024-12-10
DS-1203,Dataset_203,356697,30,data_scientist,2025-04-16
DS-1204,Dataset_204,296630,45,cyber_admin,2024-09-17
DS-1205,Dataset_205,809518,43,analyst1,2024-11-01
DS-1206,Dataset_206,665763,39,data_scientist,2024-03-04
DS-1207,Dataset_207,620430,23,analyst1,2024-12-03
DS-1208,Dataset_208,615521,5,analyst2,2025-03-31
DS-1209,Dataset_209,434841,32,data_scientist,2025-11-23
DS-1210,Dataset_210,714478,28,analyst2,2024-07-19
DS-1211,Dataset_211,94842,28,analyst1,2025-10-29
DS-1212,Dataset_212,411891,22,data_scientist,2024-07-05
DS-1213,Dataset_213,783012,14,data_scientist,2024-11-18
DS-1214,Dataset_214,510371,38,it_admin,2024-05-24
DS-1215,Dataset_215,2139,16,data_scientist,2025-10-31
DS-1216,Dataset_216,764119,7,data_scientist,2024-06-20
DS-1217,Dataset_217,387872,8,data_scientist,2025-04-14
DS-1218,Dataset_218,517207,6,analyst2,2024-10-26
DS-1219,Dataset_219,218606,20,cyber_admin,2024-06-20
DS-1220,Dataset_220,359104,37,data_scientist,2025-04-28
DS-1221,Dataset_221,437033,45,data_scientist,2025-02-26
DS-1222,Dataset_222,426161,27,analyst1,2024-05-08
DS-1223,Dataset_223,238064,30,cyber_admin,2025-02-08
DS-1224,Dataset_224,852478,10,analyst2,2025-04-16
DS-1225,Dataset_225,724136,29,analyst1,2025-08-03
DS-1226,Dataset_226,864655,44,analyst1,2024-02-22
DS-1227,Dataset_227,836984,24,it_admin,2024-05-01
DS-1228,Dataset_228,682933,27,it_admin,2024-08-22
DS-1229,Dataset_229,825051,9,analyst2,2024-01-27
DS-1230,Dataset_230,464679,5,analyst2,2025-10-15
DS-1231,Dataset_231,753883,14,analyst2,2024-07-10
DS-1232,Dataset_232,352144,40,cyber_admin,2025-07-26
DS-1233,Dataset_233,475919,42,analyst2,2025-10-23
DS-1234,Dataset_234,711532,35,analyst2,2025-03-08
DS-1235,Dataset_235,237620,20,it_admin,2024-09-20
DS-1236,Dataset_236,414539,28,it_admin,2024-07-10
DS-1237,Dataset_237,896146,18,data_scientist,2024-09-24
DS-1238,Dataset_238,404381,45,it_admin,2024-06-02
DS-1239,Dataset_239,70739,21,analyst1,2024-05-29
DS-1240,Dataset_240,662570,18,it_admin,2025-02-07
DS-1241,Dataset_241,977198,14,analyst2,2025-03-13
DS-1242,Dataset_242,273023,49,analyst2,2024-11-22
DS-1243,Dataset_243,472517,6,data_scientist,2024-08-14
DS-1244,Dataset_244,211651,24,analyst2,2024-05-17
DS-1245,Dataset_245,579788,38,it_admin,2024-11-29
DS-1246,Dataset_246,565102,33,analyst2,2024-01-26
DS-1247,Dataset_247,54198,26,analyst2,2024-05-09
DS-1248,Dataset_248,551377,15,cyber_admin,2024-08-15
DS-1249,Dataset_249,581185,8,cyber_admin,2024-12-22
DS-1250,Dataset_250,488556,17,data_scientist,2025-03-29
DS-1251,Dataset_251,526859,5,analyst2,2024-04-04
DS-1252,Dataset_252,655033,42,it_admin,2024-03-06
DS-1253,Dataset_253,585576,25,cyber_admin,2025-07-14
DS-1254,Dataset_254,827393,49,data_scientist,2025-04-21
DS-1255,Dataset_255,229892,13,analyst1,2025-08-28
DS-1256,Dataset_256,316335,28,data_scientist,2024-05-12
DS-1257,Dataset_257,728178,46,analyst1,2024-06-17
DS-1258,Dataset_258,947813,16,it_admin,2025-02-01
DS-1259,Dataset_259,58221,14,data_scientist,2025-11-28
DS-1260,Dataset_260,301857,26,analyst2,2024-07-18
DS-1261,Dataset_261,932644,14,cyber_admin,2025-01-25
DS-1262,Dataset_262,650758,8,data_scientist,2024-10-07
DS-1263,Dataset_263,409733,45,analyst1,2025-12-02
DS-1264,Dataset_264,730036,15,it_admin,2024-02-25
DS-1265,Dataset_265,749243,30,analyst2,2024-03-24
DS-1266,Dataset_266,893449,25,data_scientist,2024-04-19
DS-1267,Dataset_267,8002,34,cyber_admin,2025-10-24
DS-1268,Dataset_268,517495,15,analyst1,2024-09-25
DS-1269,Dataset_269,311810,10,analyst1,2025-05-08
DS-1270,Dataset_270,258051,42,cyber_admin,2024-09-28
DS-1271,Dataset_271,184832,29,analyst1,2024-07-04
DS-1272,Dataset_272,470132,45,data_scientist,2024-07-17
DS-1273,Dataset_273,638914,27,analyst2,2024-01-18
DS-1274,Dataset_274,216729,24,it_admin,2024-11-19
DS-1275,Dataset_275,239257,39,data_scientist,2024-04-12
DS-1276,Dataset_276,259631,11,it_admin,2024-04-22
DS-1277,Dataset_277,450697,12,it_admin,2024-06-25
DS-1278,Dataset_278,90902,14,it_admin,2025-06-01
DS-1279,Dataset_279,863711,47,it_admin,2024-01-25
DS-1280,Dataset_280,119699,12,cyber_admin,2024-08-14
DS-1281,Dataset_281,918674,26,it_admin,2025-11-05
DS-1282,Dataset_282,518229,40,analyst1,2025-07-03
DS-1283,Dataset_283,121356,27,cyber_admin,2024-10-04
DS-1284,Dataset_284,353199,35,cyber_admin,2025-11-21
DS-1285,Dataset_285,603650,26,analyst2,2025-10-06
DS-1286,Dataset_286,169586,30,data_scientist,2024-08-16
DS-1287,Dataset_287,513150,27,data_scientist,2025-04-17
DS-1288,Dataset_288,532308,26,data_scientist,2025-02-06
DS-1289,Dataset_289,565092,42,analyst1,2025-05-12
DS-1290,Dataset_290,362363,49,analyst2,2024-09-18
DS-1291,Dataset_291,746177,34,cyber_admin,2025-06-24
DS-1292,Dataset_292,960959,23,cyber_admin,2025-03-31
DS-1293,Dataset_293,932639,13,it_admin,2025-06-17
DS-1294,Dataset_294,350485,6,analyst2,2024-04-23
DS-1295,Dataset_295,130278,5,it_admin,2024-07-15
DS-1296,Dataset_296,445627,36,cyber_admin,2025-09-07
DS-1297,Dataset_297,329838,47,it_admin,2025-12-12
DS-1298,Dataset_298,303725,47,analyst1,2024-06-17
DS-1299,Dataset_299,934941,46,cyber_admin,2024-02-18
DS-1300,Dataset_300,527738,10,analyst2,2025-11-08
DS-1301,Dataset_301,12607,43,analyst2,2025-03-23
DS-1302,Dataset_302,697396,48,cyber_admin,2025-09-08
DS-1303,Dataset_303,296737,28,it_admin,2024-02-03
DS-1304,Dataset_304,973920,39,data_scientist,2025-07-24
DS-1305,Dataset_305,854862,48,analyst2,2025-02-17
DS-1306,Dataset_306,520269,13,it_admin,2024-11-12
DS-1307,Dataset_307,680008,47,data_scientist,2024-11-05
DS-1308,Dataset_308,55667,24,analyst2,2024-11-07
DS-1309,Dataset_309,287760,30,data_scientist,2025-08-08
DS-1310,Dataset_310,66146,43,it_admin,2024-10-07
DS-1311,Dataset_311,856488,7,analyst2,2025-10-17
DS-1312,Dataset_312,866697,45,analyst1,2024-10-17
DS-1313,Dataset_313,807816,24,data_scientist,2025-12-02
DS-1314,Dataset_314,792993,35,analyst1,2025-04-29
DS-1315,Dataset_315,545907,43,analyst2,2024-08-18
DS-1316,Dataset_316,58029,10,it_admin,2024-05-26
DS-1317,Dataset_317,616228,30,analyst2,2025-03-16
DS-1318,Dataset_318,382055,36,analyst1,2025-07-20
DS-1319,Dataset_319,261223,33,analyst2,2024-12-08
DS-1320,Dataset_320,976243,14,it_admin,2025-02-16
DS-1321,Dataset_321,297196,48,analyst1,2024-07-02
DS-1322,Dataset_322,792514,11,analyst2,2025-07-25
DS-1323,Dataset_323,673373,50,cyber_admin,2025-04-13
DS-1324,Dataset_324,876803,17,it_admin,2024-09-20
DS-1325,Dataset_325,301760,8,analyst2,2024-07-29
DS-1326,Dataset_326,318765,17,data_scientist,2024-07-09
DS-1327,Dataset_327,491613,16,analyst2,2024-03-19
DS-1328,Dataset_328,421444,30,analyst2,2024-05-23
DS-1329,Dataset_329,75020,25,it_admin,2025-10-18
DS-1330,Dataset_330,84764,10,it_admin,2024-09-19
DS-1331,Dataset_331,924727,22,it_admin,2024-05-07
DS-1332,Dataset_332,54411,44,data_scientist,2025-01-02
DS-1333,Dataset_333,293834,42,data_scientist,2024-09-17
DS-1334,Dataset_334,296424,46,analyst2,2024-05-19
DS-1335,Dataset_335,430187,24,data_scientist,2025-06-14
DS-1336,Dataset_336,927923,39,it_admin,2024-08-28
DS-1337,Dataset_337,328437,6,it_admin,2025-09-30
DS-1338,Dataset_338,539448,20,cyber_admin,2024-12-29
DS-1339,Dataset_339,273671,47,it_admin,2024-06-20
DS-1340,Dataset_340,502173,47,cyber_admin,2024-10-14
DS-1341,Dataset_341,19455,19,it_admin,2025-03-01
DS-1342,Dataset_342,307523,27,it_admin,2025-02-04
DS-1343,Dataset_343,898044,36,analyst2,2024-05-06
DS-1344,Dataset_344,443651,46,data_scientist,2024-04-13
DS-1345,Dataset_345,297096,5,it_admin,2024-07-04
DS-1346,Dataset_346,315244,33,cyber_admin,2025-06-10
DS-1347,Dataset_347,672311,17,analyst1,2024-02-09
DS-1348,Dataset_348,594330,29,analyst2,2024-08-16
DS-1349,Dataset_349,522473,34,cyber_admin,2024-12-14
DS-1350,Dataset_350,220768,40,analyst1,2024-04-16
DS-1351,Dataset_351,333106,45,analyst1,2025-08-04
DS-1352,Dataset_352,701566,45,data_scientist,2025-11-15
DS-1353,Dataset_353,860667,43,it_admin,2024-08-08
DS-1354,Dataset_354,336554,24,it_admin,2024-03-13
DS-1355,Dataset_355,993079,24,it_admin,2025-09-24
DS-1356,Dataset_356,693156,22,analyst2,2025-06-25
DS-1357,Dataset_357,931553,49,analyst2,2025-12-01
DS-1358,Dataset_358,42238,17,it_admin,2024-08-28
DS-1359,Dataset_359,824020,40,analyst2,2025-06-22
DS-1360,Dataset_360,321706,46,data_scientist,2024-09-16
DS-1361,Dataset_361,127400,42,analyst1,2024-10-22
DS-1362,Dataset_362,291814,35,analyst2,2024-08-15
DS-1363,Dataset_363,764855,7,cyber_admin,2024-09-21
DS-1364,Dataset_364,895508,7,analyst2,2025-01-27
DS-1365,Dataset_365,497016,27,data_scientist,2025-09-16
DS-1366,Dataset_366,644302,31,analyst2,2025-01-28
DS-1367,Dataset_367,687239,9,data_scientist,2025-02-24
DS-1368,Dataset_368,758751,37,analyst1,2025-04-15
DS-1369,Dataset_369,883448,32,it_admin,2025-03-30
DS-1370,Dataset_370,959678,16,analyst1,2025-04-30
DS-1371,Dataset_371,689065,42,it_admin,2025-11-27
DS-1372,Dataset_372,74484,50,data_scientist,2024-03-26
DS-1373,Dataset_373,489095,28,analyst2,2024-02-06
DS-1374,Dataset_374,320542,45,analyst2,2024-10-10
DS-1375,Dataset_375,184796,8,analyst2,2025-02-01
DS-1376,Dataset_376,288107,7,cyber_admin,2025-07-08
DS-1377,Dataset_377,19917,22,cyber_admin,2024-06-06
DS-1378,Dataset_378,735969,24,analyst2,2024-05-08
DS-1379,Dataset_379,527463,5,analyst2,2025-07-24
DS-1380,Dataset_380,772802,10,it_admin,2025-06-27
DS-1381,Dataset_381,363991,23,analyst2,2025-08-31
DS-1382,Dataset_382,480844,25,cyber_admin,2024-03-26
DS-1383,Dataset_383,500001,6,data_scientist,2024-03-14
DS-1384,Dataset_384,605823,46,analyst1,2024-04-10
DS-1385,Dataset_385,947926,7,data_scientist,2025-11-03
DS-1386,Dataset_386,669075,43,analyst1,2024-09-14
DS-1387,Dataset_387,444971,41,analyst2,2025-02-06
DS-1388,Dataset_388,447902,19,data_scientist,2025-02-28
DS-1389,Dataset_389,530295,28,analyst2,2025-10-21
DS-1390,Dataset_390,116348,34,data_scientist,2024-12-11
DS-1391,Dataset_391,133872,8,analyst1,2025-02-12
DS-1392,Dataset_392,788592,24,analyst2,2024-03-29
DS-1393,Dataset_393,732617,48,analyst1,2024-08-27
DS-1394,Dataset_394,281062,7,data_scientist,2025-10-16
DS-1395,Dataset_395,743300,13,cyber_admin,2025-10-01
DS-1396,Dataset_396,196869,26,analyst1,2024-03-10
DS-1397,Dataset_397,192349,28,it_admin,2025-04-15
DS-1398,Dataset_398,800594,9,it_admin,2025-06-15
DS-1399,Dataset_399,621152,19,data_scientist,2024-11-11
DS-1400,Dataset_400,563667,50,cyber_admin,2025-01-23
DS-1401,Dataset_401,583980,25,cyber_admin,2025-11-13
DS-1402,Dataset_402,270903,42,data_scientist,2025-02-08
DS-1403,Dataset_403,529660,15,data_scientist,2024-04-14
DS-1404,Dataset_404,84234,15,analyst2,2025-11-30
DS-1405,Dataset_405,352667,8,cyber_admin,2025-07-14
DS-1406,Dataset_406,945000,15,cyber_admin,2024-02-10
DS-1407,Dataset_407,360440,13,analyst2,2024-07-22
DS-1408,Dataset_408,695513,20,data_scientist,2025-11-01
DS-1409,Dataset_409,87549,47,data_scientist,2024-04-23
DS-1410,Dataset_410,928477,7,data_scientist,2025-07-10
DS-1411,Dataset_411,439041,34,it_admin,2025-01-03
DS-1412,Dataset_412,160415,44,data_scientist,2025-04-21
DS-1413,Dataset_413,932637,41,analyst2,2024-03-29
DS-1414,Dataset_414,318504,6,it_admin,2024-06-27
DS-1415,Dataset_415,483893,33,analyst1,2025-11-28
DS-1416,Dataset_416,319954,24,data_scientist,2024-06-09
DS-1417,Dataset_417,390399,13,cyber_admin,2024-10-09
DS-1418,Dataset_418,685939,8,analyst1,2025-10-31
DS-1419,Dataset_419,503159,40,data_scientist,2024-07-24
DS-1420,Dataset_420,979832,33,analyst2,2025-05-06
DS-1421,Dataset_421,113419,33,it_admin,2024-08-05
DS-1422,Dataset_422,764099,38,analyst1,2025-10-21
DS-1423,Dataset_423,317835,32,data_scientist,2025-11-13
DS-1424,Dataset_424,949083,42,data_scientist,2025-05-03
DS-1425,Dataset_425,445225,18,analyst2,2024-03-26
DS-1426,Dataset_426,618933,35,analyst1,2025-03-14
DS-1427,Dataset_427,822034,40,analyst2,2025-02-24
DS-1428,Dataset_428,969380,7,cyber_admin,2024-09-02
DS-1429,Dataset_429,702541,23,it_admin,2025-01-27
DS-1430,Dataset_430,430418,22,it_admin,2025-02-03
DS-1431,Dataset_431,303652,21,it_admin,2024-08-02
DS-1432,Dataset_432,773250,7,cyber_admin,2024-09-11
DS-1433,Dataset_433,584897,6,data_scientist,2024-05-11
DS-1434,Dataset_434,19212,17,data_scientist,2024-12-28
DS-1435,Dataset_435,66024,8,data_scientist,2025-04-11
DS-1436,Dataset_436,977425,15,analyst2,2024-10-16
DS-1437,Dataset_437,35285,19,analyst2,2025-03-18
DS-1438,Dataset_438,746944,38,analyst2,2025-05-12
DS-1439,Dataset_439,12826,26,analyst1,2024-02-19
DS-1440,Dataset_440,33904,9,data_scientist,2024-02-11
DS-1441,Dataset_441,666006,42,it_admin,2024-05-20
DS-1442,Dataset_442,746821,46,cyber_admin,2025-08-22
DS-1443,Dataset_443,843131,32,data_scientist,2025-10-22
DS-1444,Dataset_444,109856,39,analyst2,2025-11-30
DS-1445,Dataset_445,7422,31,analyst1,2024-01-15
DS-1446,Dataset_446,628469,35,analyst2,2025-10-10
DS-1447,Dataset_447,696982,38,it_admin,2024-06-03
DS-1448,Dataset_448,288486,23,data_scientist,2024-09-03
DS-1449,Dataset_449,493895,45,it_admin,2024-04-11
DS-1450,Dataset_450,905615,49,it_admin,2024-04-22
DS-1451,Dataset_451,931044,36,cyber_admin,2024-03-24
DS-1452,Dataset_452,69570,22,analyst2,2025-03-10
DS-1453,Dataset_453,762254,27,it_admin,2024-03-12
DS-1454,Dataset_454,642460,47,data_scientist,2024-01-17
DS-1455,Dataset_455,218128,45,cyber_admin,2025-01-05
