incident_id,timestamp,incidents_type,severity,category,status,description
INC-1048,2025-07-17 23:10:28,DDoS,Low,Phishing,In Progress,Synthetic incident description #48
INC-1049,2025-03-21 00:04:29,Misconfiguration,Low,Malware,In Progress,Synthetic incident description #49
INC-1050,2025-03-25 20:20:23,Phishing,Critical,Insider Threat,In Progress,Synthetic incident description #50
INC-1051,2024-12-31 01:57:39,Insider Threat,Critical,Phishing,Open,Synthetic incident description #51
INC-1052,2025-10-05 09:51:38,DDoS,Low,Insider Threat,Open,Synthetic incident description #52
INC-1053,2025-04-11 21:31:23,Insider Threat,Low,Phishing,Closed,Synthetic incident description #53
INC-1054,2025-02-06 01:06:00,DDoS,Medium,Phishing,Open,Synthetic incident description #54
INC-1055,2025-05-27 04:45:58,Insider Threat,Medium,Malware,Resolved,Synthetic incident description #55
INC-1056,2025-09-18 14:30:07,Insider Threat,Low,DDoS,Open,Synthetic incident description #56
INC-1057,2025-06-20 20:11:05,Insider Threat,Critical,Insider Threat,Closed,Synthetic incident description #57
INC-1058,2025-01-21 06:10:29,Malware,High,Phishing,In Progress,Synthetic incident description #58
INC-1059,2025-02-01 11:55:25,Malware,Medium,DDoS,Resolved,Synthetic incident description #59
INC-1060,2024-12-16 18:12:59,Phishing,Low,Phishing,Closed,Synthetic incident description #60
INC-1061,2025-07-19 10:14:33,Phishing,Low,Phishing,Closed,Synthetic incident description #61
INC-1062,2025-09-03 17:43:46,Phishing,High,Misconfiguration,Open,Synthetic incident description #62
INC-1063,2025-03-25 08:52:49,Phishing,Medium,DDoS,Resolved,Synthetic incident description #63
INC-1064,2025-06-26 13:08:43,Phishing,Critical,DDoS,Resolved,Synthetic incident description #64
INC-1065,2025-09-01 05:34:43,Malware,Medium,Phishing,In Progress,Synthetic incident description #65
INC-1066,2024-12-24 20:36:30,Phishing,Medium,Misconfiguration,Open,Synthetic incident description #66
INC-1067,2025-04-16 21:41:37,Phishing,Medium,Insider Threat,Resolved,Synthetic incident description #67
INC-1068,2025-01-15 16:47:45,Malware,Low,Malware,In Progress,Synthetic incident description #68
INC-1069,2025-05-03 14:33:34,Insider Threat,Critical,DDoS,Open,Synthetic incident description #69
INC-1070,2025-09-30 05:07:14,Insider Threat,Medium,DDoS,Open,Synthetic incident description #70
INC-1071,2025-05-31 12:27:44,Insider Threat,Medium,Phishing,Open,Synthetic incident description #71
INC-1072,2025-08-21 20:51:14,Insider Threat,Low,Insider Threat,Closed,Synthetic incident description #72
INC-1073,2025-08-24 11:29:14,Insider Threat,Low,DDoS,In Progress,Synthetic incident description #73
INC-1074,2025-10-01 13:08:55,DDoS,Low,Insider Threat,Open,Synthetic incident description #74
INC-1075,2025-10-02 09:24:09,Misconfiguration,Medium,DDoS,Open,Synthetic incident description #75
INC-1076,2025-05-30 21:13:17,Malware,High,Phishing,Resolved,Synthetic incident description #76
INC-1077,2025-12-09 21:27:53,Misconfiguration,Medium,Malware,Open,Synthetic incident description #77
INC-1078,2025-04-09 07:40:20,Malware,Low,Misconfiguration,In Progress,Synthetic incident description #78
INC-1079,2025-03-24 15:12:46,Misconfiguration,Critical,Insider Threat,Closed,Synthetic incident description #79
INC-1080,2025-04-19 10:00:48,Insider Threat,Low,Phishing,Resolved,Synthetic incident description #80
INC-1081,2025-09-26 17:16:54,Malware,Low,Insider Threat,In Progress,Synthetic incident description #81
INC-1082,2025-04-01 06:53:25,Phishing,Medium,Phishing,In Progress,Synthetic incident description #82
INC-1083,2025-06-07 06:45:12,Misconfiguration,Medium,Malware,Open,Synthetic incident description #83
INC-1084,2025-09-30 20:05:58,Misconfiguration,Medium,Insider Threat,Resolved,Synthetic incident description #84
INC-1085,2025-06-23 05:47:49,Phishing,Critical,Insider Threat,In Progress,Synthetic incident description #85
INC-1086,2025-09-23 04:01:08,DDoS,Medium,DDoS,Closed,Synthetic incident description #86
INC-1087,2025-11-02 06:02:24,Malware,Low,Malware,In Progress,Synthetic incident description #87
INC-1088,2025-03-27 15:32:40,DDoS,Critical,Misconfiguration,Closed,Synthetic incident description #88
INC-1089,2025-06-23 10:21:18,Insider Threat,High,Phishing,Resolved,Synthetic incident description #89
INC-1090,2025-07-15 05:37:25,Misconfiguration,High,DDoS,In Progress,Synthetic incident description #90
INC-1091,2025-03-27 07:50:52,Insider Threat,Medium,Malware,Closed,Synthetic incident description #91
INC-1092,2025-10-26 15:31:19,Insider Threat,Medium,Insider Threat,In Progress,Synthetic incident description #92
INC-1093,2025-10-10 02:34:40,Malware,Low,Misconfiguration,Resolved,Synthetic incident description #93
INC-1094,2025-09-28 08:13:29,Insider Threat,High,DDoS,Resolved,Synthetic incident description #94
INC-1095,2025-08-04 21:53:51,Misconfiguration,Low,Malware,Closed,Synthetic incident description #95
INC-1096,2025-09-13 00:09:39,Phishing,Low,Malware,Resolved,Synthetic incident description #96
INC-1097,2025-05-11 23:06:05,Malware,Low,Phishing,Closed,Synthetic incident description #97
INC-1098,2025-06-21 10:01:35,Insider Threat,High,Malware,Open,Synthetic incident description #98
INC-1099,2025-02-12 02:17:49,DDoS,High,Misconfiguration,Closed,Synthetic incident description #99
INC-1100,2025-03-23 06:22:42,DDoS,High,Insider Threat,Closed,Synthetic incident description #100
INC-1101,2025-03-09 10:58:20,DDoS,High,Misconfiguration,Closed,Synthetic incident description #101
INC-1102,2025-05-26 06:11:13,Malware,High,Phishing,In Progress,Synthetic incident description #102
INC-1103,2025-05-24 04:54:16,Phishing,Critical,Misconfiguration,Resolved,Synthetic incident description #103
INC-1104,2025-08-30 12:23:12,Misconfiguration,Critical,Insider Threat,Resolved,Synthetic incident description #104
INC-1105,2025-05-18 22:53:02,Misconfiguration,Critical,Misconfiguration,Closed,Synthetic incident description #105
INC-1106,2025-09-12 05:12:30,Phishing,Medium,DDoS,In Progress,Synthetic incident description #106
INC-1107,2025-11-28 01:58:03,Insider Threat,Critical,DDoS,Open,Synthetic incident description #107
INC-1108,2025-06-24 02:33:59,Malware,Critical,Misconfiguration,Open,Synthetic incident description #108
INC-1109,2025-04-10 04:21:27,Misconfiguration,Medium,Phishing,Resolved,Synthetic incident description #109
INC-1110,2025-02-01 05:28:18,Insider Threat,High,Insider Threat,Closed,Synthetic incident description #110
INC-1111,2025-09-04 13:49:39,Misconfiguration,High,Malware,In Progress,Synthetic incident description #111
INC-1112,2025-06-03 01:22:01,Misconfiguration,Critical,Insider Threat,Closed,Synthetic incident description #112
INC-1113,2025-05-24 06:56:15,Misconfiguration,Low,Insider Threat,Closed,Synthetic incident description #113
INC-1114,2025-12-09 16:17:47,Phishing,Critical,DDoS,Closed,Synthetic incident description #114
INC-1115,2025-08-28 05:31:03,Insider Threat,Medium,Malware,Open,Synthetic incident description #115
INC-1116,2025-01-09 03:25:44,DDoS,Critical,Phishing,In Progress,Synthetic incident description #116
INC-1117,2025-06-30 20:01:54,Misconfiguration,High,DDoS,Open,Synthetic incident description #117
INC-1118,2025-05-05 09:37:35,Malware,High,Malware,In Progress,Synthetic incident description #118
INC-1119,2025-06-13 06:40:29,DDoS,Low,Malware,Resolved,Synthetic incident description #119
INC-1120,2025-10-24 01:03:18,Phishing,High,DDoS,Open,Synthetic incident description #120
INC-1121,2025-04-19 00:10:40,Phishing,Low,DDoS,Closed,Synthetic incident description #121
INC-1122,2025-04-13 04:01:12,Phishing,High,DDoS,Open,Synthetic incident description #122
INC-1123,2025-03-27 00:48:22,Misconfiguration,Medium,Insider Threat,Resolved,Synthetic incident description #123
INC-1124,2025-05-21 01:21:33,Malware,High,Phishing,In Progress,Synthetic incident description #124
INC-1125,2025-05-23 07:35:38,Misconfiguration,Low,Malware,In Progress,Synthetic incident description #125
INC-1126,2025-08-14 12:22:21,Insider Threat,Critical,Phishing,Open,Synthetic incident description #126
INC-1127,2025-07-21 19:53:30,Misconfiguration,Medium,DDoS,Closed,Synthetic incident description #127
INC-1128,2025-11-07 01:55:26,Insider Threat,Medium,Misconfiguration,Closed,Synthetic incident description #128
INC-1129,2025-07-27 04:01:32,DDoS,High,Misconfiguration,Open,Synthetic incident description #129
INC-1130,2025-02-11 00:52:35,Misconfiguration,Low,Malware,Resolved,Synthetic incident description #130
INC-1131,2025-07-10 22:11:22,Misconfiguration,High,DDoS,In Progress,Synthetic incident description #131
INC-1132,2025-02-03 08:35:18,Misconfiguration,Critical,DDoS,In Progress,Synthetic incident description #132
INC-1133,2025-08-19 15:16:26,Malware,Low,Insider Threat,In Progress,Synthetic incident description #133
INC-1134,2025-08-17 22:23:21,Phishing,High,Malware,Open,Synthetic incident description #134
INC-1135,2025-08-19 03:50:59,Phishing,Low,Insider Threat,Open,Synthetic incident description #135
INC-1136,2025-11-14 01:35:14,Phishing,Critical,Insider Threat,In Progress,Synthetic incident description #136
INC-1137,2025-10-26 20:10:24,DDoS,Critical,DDoS,Resolved,Synthetic incident description #137
INC-1138,2025-09-04 23:15:02,Misconfiguration,Low,Phishing,In Progress,Synthetic incident description #138
INC-1139,2025-03-02 04:54:36,Misconfiguration,Low,DDoS,In Progress,Synthetic incident description #139
INC-1140,2025-05-31 00:06:59,DDoS,High,Phishing,Closed,Synthetic incident description #140
INC-1141,2025-03-14 22:55:35,DDoS,Low,Malware,Closed,Synthetic incident description #141
INC-1142,2025-03-18 08:58:05,Misconfiguration,High,DDoS,Resolved,Synthetic incident description #142
INC-1143,2025-12-12 01:08:34,Malware,Critical,Misconfiguration,Resolved,Synthetic incident description #143
INC-1144,2025-08-05 05:08:41,Insider Threat,High,DDoS,In Progress,Synthetic incident description #144
INC-1145,2025-08-14 03:42:23,Misconfiguration,Low,Insider Threat,Closed,Synthetic incident description #145
INC-1146,2025-11-22 23:57:22,Phishing,Medium,Malware,Resolved,Synthetic incident description #146
INC-1147,2025-01-22 12:41:48,Insider Threat,Critical,Insider Threat,Resolved,Synthetic incident description #147
INC-1148,2025-06-26 03:10:38,Misconfiguration,High,Malware,Resolved,Synthetic incident description #148
INC-1149,2025-07-06 08:43:13,Insider Threat,High,Phishing,Open,Synthetic incident description #149
INC-1150,2025-06-04 05:35:46,DDoS,Medium,DDoS,Resolved,Synthetic incident description #150
INC-1151,2025-12-02 11:45:12,DDoS,Critical,Phishing,In Progress,Synthetic incident description #151
INC-1152,2025-11-20 22:57:43,Misconfiguration,Critical,Malware,Resolved,Synthetic incident description #152
INC-1153,2025-11-11 20:04:26,Malware,Medium,DDoS,Open,Synthetic incident description #153
INC-1154,2025-07-18 14:19:49,Misconfiguration,High,Insider Threat,Open,Synthetic incident description #154
INC-1155,2025-09-17 10:13:26,Misconfiguration,Low,Insider Threat,Closed,Synthetic incident description #155
INC-1156,2025-07-21 06:50:56,Malware,Low,Malware,Open,Synthetic incident description #156
INC-1157,2025-07-28 12:57:56,DDoS,Critical,Insider Threat,Open,Synthetic incident description #157
INC-1158,2025-10-28 03:43:48,Malware,Medium,DDoS,Open,Synthetic incident description #158
INC-1159,2025-08-23 05:55:57,Misconfiguration,High,Malware,In Progress,Synthetic incident description #159
INC-1160,2025-12-07 12:33:44,DDoS,Critical,Malware,Resolved,Synthetic incident description #160
INC-1161,2025-03-02 13:36:53,DDoS,Critical,Phishing,Open,Synthetic incident description #161
INC-1162,2025-01-28 17:33:51,Malware,Low,Misconfiguration,In Progress,Synthetic incident description #162
INC-1163,2025-07-16 23:34:58,Misconfiguration,High,Phishing,In Progress,Synthetic incident description #163
INC-1164,2025-04-01 01:41:26,Phishing,High,DDoS,Closed,Synthetic incident description #164
INC-1165,2025-05-12 15:44:15,Misconfiguration,Medium,DDoS,Open,Synthetic incident description #165
INC-1166,2025-03-29 09:56:02,DDoS,Low,Misconfiguration,Closed,Synthetic incident description #166
INC-1167,2025-09-19 01:00:08,Malware,Medium,Malware,Closed,Synthetic incident description #167
INC-1168,2025-10-26 08:35:06,Phishing,Medium,Malware,Resolved,Synthetic incident description #168
INC-1169,2025-01-20 22:11:28,Phishing,Medium,Misconfiguration,In Progress,Synthetic incident description #169
INC-1170,2025-02-22 01:14:43,DDoS,Medium,Malware,In Progress,Synthetic incident description #170
INC-1171,2025-01-19 23:48:07,Insider Threat,Critical,DDoS,Open,Synthetic incident description #171
INC-1172,2025-02-07 12:59:15,Phishing,Low,Malware,Closed,Synthetic incident description #172
INC-1173,2025-04-09 22:32:31,Insider Threat,Critical,Insider Threat,Open,Synthetic incident description #173
INC-1174,2025-07-28 05:05:43,Insider Threat,Critical,Insider Threat,Resolved,Synthetic incident description #174
INC-1175,2025-07-01 15:56:54,Malware,Medium,Malware,Open,Synthetic incident description #175
INC-1176,2025-07-25 23:41:34,Insider Threat,High,Phishing,Resolved,Synthetic incident description #176
INC-1177,2025-07-27 15:55:40,Phishing,Low,Misconfiguration,Open,Synthetic incident description #177
INC-1178,2025-08-25 12:52:37,DDoS,High,Insider Threat,In Progress,Synthetic incident description #178
INC-1179,2025-08-24 22:36:44,DDoS,Medium,Misconfiguration,Open,Synthetic incident description #179
INC-1180,2025-10-30 22:20:03,Misconfiguration,High,Insider Threat,Open,Synthetic incident description #180
INC-1181,2025-06-18 02:36:02,Phishing,Low,Misconfiguration,Open,Synthetic incident description #181
INC-1182,2025-05-23 09:53:14,Malware,Low,Insider Threat,Resolved,Synthetic incident description #182
INC-1183,2025-12-14 03:04:32,Misconfiguration,Critical,Phishing,In Progress,Synthetic incident description #183
INC-1184,2025-11-13 16:57:58,Malware,Critical,Phishing,Open,Synthetic incident description #184
INC-1185,2025-02-22 18:17:49,Insider Threat,Medium,Misconfiguration,In Progress,Synthetic incident description #185
INC-1186,2025-07-05 07:18:59,Insider Threat,High,DDoS,Resolved,Synthetic incident description #186
INC-1187,2025-01-08 05:31:18,Phishing,Low,Misconfiguration,Closed,Synthetic incident description #187
INC-1188,2025-05-13 19:41:44,DDoS,High,Phishing,Closed,Synthetic incident description #188
INC-1189,2025-03-25 00:19:39,Malware,High,Malware,Open,Synthetic incident description #189
INC-1190,2025-12-04 06:39:32,Malware,High,Insider Threat,Open,Synthetic incident description #190
INC-1191,2025-04-24 12:07:44,Insider Threat,High,Misconfiguration,Closed,Synthetic incident description #191
INC-1192,2025-05-22 08:41:02,Insider Threat,Critical,Phishing,Closed,Synthetic incident description #192
INC-1193,2024-12-25 20:54:46,DDoS,High,Insider Threat,In Progress,Synthetic incident description #193
INC-1194,2025-12-03 10:46:06,Insider Threat,Medium,Insider Threat,In Progress,Synthetic incident description #194
INC-1195,2025-08-26 08:20:38,Misconfiguration,Low,Malware,Open,Synthetic incident description #195
INC-1196,2025-09-11 18:54:19,Malware,High,Malware,Resolved,Synthetic incident description #196
INC-1197,2025-03-08 17:39:20,Insider Threat,High,Misconfiguration,In Progress,Synthetic incident description #197
INC-1198,2025-09-02 13:00:46,DDoS,Low,Insider Threat,In Progress,Synthetic incident description #198
INC-1199,2025-03-23 07:32:28,Insider Threat,High,DDoS,Open,Synthetic incident description #199
INC-1200,2025-02-25 13:30:41,Misconfiguration,Critical,DDoS,Closed,Synthetic incident description #200
INC-1201,2025-10-21 14:37:44,Malware,Low,Insider Threat,Open,Synthetic incident description #201
INC-1202,2025-08-29 12:26:42,Malware,Medium,Insider Threat,Resolved,Synthetic incident description #202
INC-1203,2025-01-20 10:05:49,Malware,Low,Insider Threat,Closed,Synthetic incident description #203
INC-1204,2025-08-27 17:23:46,Phishing,High,Insider Threat,In Progress,Synthetic incident description #204
INC-1205,2025-08-03 11:52:43,Malware,High,Malware,Closed,Synthetic incident description #205
INC-1206,2025-01-01 20:24:28,Misconfiguration,Critical,Insider Threat,Resolved,Synthetic incident description #206
INC-1207,2025-08-08 15:04:00,Misconfiguration,Medium,Misconfiguration,In Progress,Synthetic incident description #207
INC-1208,2025-03-07 14:19:44,Phishing,Medium,Malware,Resolved,Synthetic incident description #208
INC-1209,2025-11-08 10:30:24,Malware,Low,Phishing,Resolved,Synthetic incident description #209
INC-1210,2025-08-08 19:38:23,DDoS,Critical,Misconfiguration,Open,Synthetic incident description #210
INC-1211,2025-12-08 15:54:13,Misconfiguration,Medium,Malware,In Progress,Synthetic incident description #211
INC-1212,2025-01-08 17:41:52,Insider Threat,Medium,Insider Threat,Closed,Synthetic incident description #212
INC-1213,2025-05-03 15:56:23,Phishing,High,Phishing,Resolved,Synthetic incident description #213
INC-1214,2025-02-02 05:52:13,Phishing,High,Misconfiguration,Resolved,Synthetic incident description #214
INC-1215,2025-08-29 00:30:27,Misconfiguration,High,Phishing,Resolved,Synthetic incident description #215
INC-1216,2025-02-12 07:32:03,Phishing,Medium,Malware,Open,Synthetic incident description #216
INC-1217,2025-05-23 14:44:15,Malware,Medium,Misconfiguration,Resolved,Synthetic incident description #217
INC-1218,2025-03-21 02:32:27,Phishing,Critical,Phishing,Open,Synthetic incident description #218
INC-1219,2025-11-06 04:55:41,Phishing,Critical,DDoS,Closed,Synthetic incident description #219
INC-1220,2025-03-02 14:50:35,Misconfiguration,Critical,Malware,Closed,Synthetic incident description #220
INC-1221,2024-12-24 16:36:15,Misconfiguration,High,Phishing,In Progress,Synthetic incident description #221
INC-1222,2025-01-22 02:30:12,Insider Threat,Critical,Phishing,Closed,Synthetic incident description #222
INC-1223,2025-11-18 15:53:18,Phishing,Low,DDoS,In Progress,Synthetic incident description #223
INC-1224,2025-03-19 18:24:16,Misconfiguration,Medium,Misconfiguration,In Progress,Synthetic incident description #224
INC-1225,2025-02-27 19:40:47,Malware,Critical,Malware,In Progress,Synthetic incident description #225
INC-1226,2025-02-04 10:08:27,DDoS,Medium,Phishing,Resolved,Synthetic incident description #226
INC-1227,2025-08-10 07:03:14,Insider Threat,High,Misconfiguration,In Progress,Synthetic incident description #227
INC-1228,2025-11-08 19:49:56,Insider Threat,Critical,Phishing,In Progress,Synthetic incident description #228
INC-1229,2025-03-18 11:53:15,DDoS,High,DDoS,Resolved,Synthetic incident description #229
INC-1230,2025-08-26 13:50:37,Malware,Low,Malware,Closed,Synthetic incident description #230
INC-1231,2025-07-19 00:49:04,DDoS,Critical,Insider Threat,Open,Synthetic incident description #231
INC-1232,2025-07-13 07:34:34,Phishing,Low,Misconfiguration,Resolved,Synthetic incident description #232
INC-1233,2024-12-31 22:38:51,Insider Threat,Medium,Insider Threat,Resolved,Synthetic incident description #233
INC-1234,2025-10-09 09:03:14,DDoS,High,Malware,Resolved,Synthetic incident description #234
INC-1235,2025-03-14 11:55:41,Insider Threat,Critical,Insider Threat,Open,Synthetic incident description #235
INC-1236,2025-09-18 06:57:47,DDoS,High,Phishing,Resolved,Synthetic incident description #236
INC-1237,2025-12-10 21:16:54,Misconfiguration,Medium,Misconfiguration,Resolved,Synthetic incident description #237
INC-1238,2025-04-30 14:41:38,Insider Threat,Critical,DDoS,Closed,Synthetic incident description #238
INC-1239,2025-11-14 00:44:56,Malware,High,Phishing,Closed,Synthetic incident description #239
INC-1240,2025-04-14 18:12:27,DDoS,Medium,Malware,Open,Synthetic incident description #240
INC-1241,2025-10-17 23:15:26,Misconfiguration,Critical,DDoS,Open,Synthetic incident description #241
INC-1242,2025-01-31 13:06:45,DDoS,Low,Malware,Closed,Synthetic incident description #242
INC-1243,2025-07-25 08:21:54,Insider Threat,Critical,Misconfiguration,Closed,Synthetic incident description #243
INC-1244,2025-04-02 05:55:17,Misconfiguration,High,DDoS,Closed,Synthetic incident description #244
INC-1245,2025-08-28 14:04:23,Phishing,Medium,Phishing,Open,Synthetic incident description #245
INC-1246,2025-04-03 10:11:44,Phishing,High,DDoS,Open,Synthetic incident description #246
INC-1247,2025-01-27 07:50:25,Insider Threat,Medium,DDoS,In Progress,Synthetic incident description #247
INC-1248,2025-01-11 23:23:49,Phishing,Critical,Misconfiguration,Open,Synthetic incident description #248
INC-1249,2025-06-27 18:55:31,Insider Threat,Critical,DDoS,In Progress,Synthetic incident description #249
INC-1250,2025-03-15 00:42:37,Malware,Medium,Malware,Open,Synthetic incident description #250
INC-1251,2025-01-16 14:19:39,Phishing,High,Phishing,In Progress,Synthetic incident description #251
INC-1252,2025-01-12 19:07:08,Malware,High,Phishing,Resolved,Synthetic incident description #252
INC-1253,2025-03-15 14:46:26,DDoS,High,Insider Threat,In Progress,Synthetic incident description #253
INC-1254,2025-08-17 07:41:08,Malware,Medium,Malware,In Progress,Synthetic incident description #254
INC-1255,2025-03-27 23:19:53,Malware,High,Misconfiguration,Open,Synthetic incident description #255
INC-1256,2025-01-08 01:06:58,DDoS,Medium,Misconfiguration,Closed,Synthetic incident description #256
INC-1257,2025-11-27 09:14:07,DDoS,Critical,DDoS,Open,Synthetic incident description #257
INC-1258,2025-04-10 12:36:01,DDoS,High,DDoS,In Progress,Synthetic incident description #258
INC-1259,2025-11-08 13:23:30,DDoS,Critical,DDoS,In Progress,Synthetic incident description #259
INC-1260,2025-03-23 03:15:35,Malware,Medium,DDoS,Closed,Synthetic incident description #260
INC-1261,2025-01-23 06:40:03,Phishing,Critical,Malware,Open,Synthetic incident description #261
INC-1262,2025-05-31 03:17:07,Misconfiguration,Medium,Malware,Closed,Synthetic incident description #262
INC-1263,2025-10-15 03:30:23,Phishing,Critical,Malware,Closed,Synthetic incident description #263
INC-1264,2025-08-29 23:10:30,Misconfiguration,High,Phishing,Closed,Synthetic incident description #264
INC-1265,2025-05-03 21:39:30,Insider Threat,High,DDoS,Resolved,Synthetic incident description #265
INC-1266,2025-04-09 06:06:44,Misconfiguration,Critical,Phishing,Closed,Synthetic incident description #266
INC-1267,2025-12-02 02:46:14,DDoS,Medium,DDoS,In Progress,Synthetic incident description #267
INC-1268,2025-05-20 09:12:14,Phishing,Medium,Insider Threat,Closed,Synthetic incident description #268
INC-1269,2025-08-08 08:47:44,Misconfiguration,High,Insider Threat,Open,Synthetic incident description #269
INC-1270,2025-11-20 08:01:37,Misconfiguration,High,Phishing,Resolved,Synthetic incident description #270
INC-1271,2025-12-03 21:14:16,Insider Threat,Low,Insider Threat,Closed,Synthetic incident description #271
INC-1272,2025-07-06 17:54:02,Misconfiguration,High,DDoS,Resolved,Synthetic incident description #272
INC-1273,2025-09-18 15:39:27,Insider Threat,Critical,Phishing,Closed,Synthetic incident description #273
INC-1274,2025-11-22 22:31:55,Misconfiguration,Critical,DDoS,Resolved,Synthetic incident description #274
INC-1275,2025-06-11 20:18:21,Insider Threat,Medium,Phishing,Resolved,Synthetic incident description #275
INC-1276,2025-02-01 11:31:54,Malware,Low,DDoS,Closed,Synthetic incident description #276
INC-1277,2025-07-09 18:25:20,Phishing,Medium,Phishing,In Progress,Synthetic incident description #277
INC-1278,2025-06-02 16:52:49,DDoS,High,Insider Threat,Closed,Synthetic incident description #278
INC-1279,2024-12-14 01:38:39,Misconfiguration,Low,Misconfiguration,In Progress,Synthetic incident description #279
INC-1280,2025-01-12 01:02:57,Misconfiguration,High,Misconfiguration,Resolved,Synthetic incident description #280
INC-1281,2025-02-01 15:27:29,DDoS,High,Misconfiguration,Closed,Synthetic incident description #281
INC-1282,2025-03-30 16:27:28,Misconfiguration,Critical,Malware,Open,Synthetic incident description #282
