ticket_id,priority,description,status,assigned_to,created_at,resolution_time_hours
TCK-2098,Medium,Synthetic IT ticket #98,Closed,it_admin,2025-06-23,180
TCK-2099,Low,Synthetic IT ticket #99,Resolved,data_scientist,2025-07-13,144
TCK-2100,Medium,Synthetic IT ticket #100,In Progress,it_admin,2025-04-23,29
TCK-2101,High,Synthetic IT ticket #101,Assigned,data_scientist,2025-11-27,140
TCK-2102,High,Synthetic IT ticket #102,Open,it_admin,2025-12-11,24
TCK-2103,Medium,Synthetic IT ticket #103,Open,it_admin,2025-10-13,156
TCK-2104,Medium,Synthetic IT ticket #104,Assigned,data_scientist,2025-11-23,180
TCK-2105,Medium,Synthetic IT ticket #105,Open,analyst2,2025-06-22,81
TCK-2106,High,Synthetic IT ticket #106,In Progress,analyst1,2025-04-02,4
TCK-2107,Critical,Synthetic IT ticket #107,Open,cyber_admin,2025-05-02,32
TCK-2108,High,Synthetic IT ticket #108,Open,cyber_admin,2025-10-17,219
TCK-2109,High,Synthetic IT ticket #109,In Progress,it_admin,2025-04-26,89
TCK-2110,High,Synthetic IT ticket #110,In Progress,cyber_admin,2025-03-08,223
TCK-2111,High,Synthetic IT ticket #111,Resolved,it_admin,2025-03-04,144
TCK-2112,High,Synthetic IT ticket #112,Open,it_admin,2025-03-24,114
TCK-2113,Low,Synthetic IT ticket #113,Resolved,cyber_admin,2025-03-16,137
TCK-2114,Critical,Synthetic IT ticket #114,In Progress,data_scientist,2025-04-21,57
TCK-2115,High,Synthetic IT ticket #115,Resolved,it_admin,2025-07-17,114
TCK-2116,Critical,Synthetic IT ticket #116,Assigned,cyber_admin,2025-05-19,172
TCK-2117,Low,Synthetic IT ticket #117,Open,cyber_admin,2025-11-27,167
TCK-2118,Critical,Synthetic IT ticket #118,Open,it_admin,2025-06-05,42
TCK-2119,Medium,Synthetic IT ticket #119,Open,analyst2,2025-10-12,88
TCK-2120,Critical,Synthetic IT ticket #120,Closed,cyber_admin,2025-05-12,137
TCK-2121,Critical,Synthetic IT ticket #121,Closed,data_scientist,2025-03-19,221
TCK-2122,Low,Synthetic IT ticket #122,In Progress,it_admin,2025-04-08,96
TCK-2123,Low,Synthetic IT ticket #123,In Progress,cyber_admin,2025-07-03,187
TCK-2124,Low,Synthetic IT ticket #124,Assigned,cyber_admin,2025-10-12,234
TCK-2125,Critical,Synthetic IT ticket #125,In Progress,it_admin,2025-04-25,215
TCK-2126,High,Synthetic IT ticket #126,Open,data_scientist,2025-09-04,150
TCK-2127,Low,Synthetic IT ticket #127,Resolved,data_scientist,2025-02-24,137
TCK-2128,High,Synthetic IT ticket #128,Assigned,it_admin,2025-09-03,4
TCK-2129,Critical,Synthetic IT ticket #129,Open,cyber_admin,2025-08-07,108
TCK-2130,High,Synthetic IT ticket #130,Resolved,analyst2,2025-05-31,220
TCK-2131,Low,Synthetic IT ticket #131,Closed,data_scientist,2025-06-03,141
TCK-2132,Low,Synthetic IT ticket #132,In Progress,data_scientist,2025-12-07,178
TCK-2133,Low,Synthetic IT ticket #133,Closed,it_admin,2025-02-18,77
TCK-2134,Low,Synthetic IT ticket #134,Assigned,it_admin,2025-11-21,86
TCK-2135,Critical,Synthetic IT ticket #135,Open,data_scientist,2025-03-03,202
TCK-2136,Critical,Synthetic IT ticket #136,Assigned,data_scientist,2025-07-21,145
TCK-2137,Low,Synthetic IT ticket #137,Assigned,data_scientist,2025-10-07,9
TCK-2138,Medium,Synthetic IT ticket #138,Assigned,it_admin,2025-02-22,51
TCK-2139,Low,Synthetic IT ticket #139,Assigned,cyber_admin,2025-06-01,60
TCK-2140,High,Synthetic IT ticket #140,Open,it_admin,2025-12-02,15
TCK-2141,High,Synthetic IT ticket #141,Resolved,analyst2,2025-06-26,84
TCK-2142,High,Synthetic IT ticket #142,Resolved,data_scientist,2025-08-31,188
TCK-2143,Low,Synthetic IT ticket #143,Open,it_admin,2025-11-16,4
TCK-2144,Low,Synthetic IT ticket #144,Resolved,analyst1,2025-04-12,240
TCK-2145,High,Synthetic IT ticket #145,In Progress,analyst2,2025-05-02,68
TCK-2146,Low,Synthetic IT ticket #146,Closed,analyst1,2025-04-20,133
TCK-2147,Critical,Synthetic IT ticket #147,In Progress,it_admin,2025-08-17,99
TCK-2148,Critical,Synthetic IT ticket #148,Closed,analyst1,2025-06-18,110
TCK-2149,Critical,Synthetic IT ticket #149,Closed,analyst1,2025-10-03,96
TCK-2150,Medium,Synthetic IT ticket #150,Open,cyber_admin,2025-06-25,192
TCK-2151,Critical,Synthetic IT ticket #151,Resolved,cyber_admin,2025-08-25,8
TCK-2152,High,Synthetic IT ticket #152,Assigned,it_admin,2025-12-12,92
TCK-2153,Low,Synthetic IT ticket #153,Closed,analyst2,2025-06-06,149
TCK-2154,Critical,Synthetic IT ticket #154,Closed,analyst2,2025-02-17,129
TCK-2155,Medium,Synthetic IT ticket #155,Assigned,cyber_admin,2025-04-12,74
TCK-2156,Critical,Synthetic IT ticket #156,Closed,it_admin,2025-07-30,197
TCK-2157,High,Synthetic IT ticket #157,In Progress,data_scientist,2025-09-01,38
TCK-2158,High,Synthetic IT ticket #158,Open,it_admin,2025-05-07,132
TCK-2159,High,Synthetic IT ticket #159,In Progress,data_scientist,2025-09-20,100
TCK-2160,Critical,Synthetic IT ticket #160,In Progress,data_scientist,2025-10-16,72
TCK-2161,Medium,Synthetic IT ticket #161,Open,data_scientist,2025-08-05,63
TCK-2162,Low,Synthetic IT ticket #162,Open,analyst2,2025-07-24,233
TCK-2163,Low,Synthetic IT ticket #163,Assigned,it_admin,2025-09-13,227
TCK-2164,High,Synthetic IT ticket #164,In Progress,analyst2,2025-05-05,36
TCK-2165,Low,Synthetic IT ticket #165,In Progress,cyber_admin,2025-04-06,214
TCK-2166,High,Synthetic IT ticket #166,Open,data_scientist,2025-04-15,126
TCK-2167,High,Synthetic IT ticket #167,Assigned,analyst1,2025-08-08,89
TCK-2168,Medium,Synthetic IT ticket #168,Closed,analyst2,2025-11-02,57
TCK-2169,High,Synthetic IT ticket #169,Resolved,analyst2,2025-06-03,128
TCK-2170,Low,Synthetic IT ticket #170,Assigned,cyber_admin,2025-09-18,10
TCK-2171,Medium,Synthetic IT ticket #171,Open,analyst1,2025-04-04,146
TCK-2172,High,Synthetic IT ticket #172,In Progress,it_admin,2025-04-26,157
TCK-2173,Medium,Synthetic IT ticket #173,In Progress,cyber_admin,2025-04-10,186
TCK-2174,Critical,Synthetic IT ticket #174,Resolved,data_scientist,2025-07-30,189
TCK-2175,High,Synthetic IT ticket #175,In Progress,data_scientist,2025-07-18,37
TCK-2176,Medium,Synthetic IT ticket #176,In Progress,it_admin,2025-06-19,91
TCK-2177,High,Synthetic IT ticket #177,Open,data_scientist,2025-08-12,221
TCK-2178,Low,Synthetic IT ticket #178,In Progress,it_admin,2025-10-22,240
TCK-2179,Low,Synthetic IT ticket #179,Closed,it_admin,2025-08-17,177
TCK-2180,Low,Synthetic IT ticket #180,Open,analyst2,2025-06-27,72
TCK-2181,Critical,Synthetic IT ticket #181,Resolved,analyst1,2025-05-22,81
TCK-2182,High,Synthetic IT ticket #182,Assigned,analyst1,2025-04-27,154
TCK-2183,Medium,Synthetic IT ticket #183,Open,it_admin,2025-11-20,220
TCK-2184,Medium,Synthetic IT ticket #184,In Progress,analyst2,2025-09-18,71
TCK-2185,High,Synthetic IT ticket #185,Closed,analyst2,2025-11-22,171
TCK-2186,Critical,Synthetic IT ticket #186,Resolved,analyst2,2025-06-04,154
TCK-2187,Medium,Synthetic IT ticket #187,In Progress,analyst2,2025-04-21,184
TCK-2188,Low,Synthetic IT ticket #188,Assigned,analyst2,2025-10-08,45
TCK-2189,High,Synthetic IT ticket #189,Closed,analyst1,2025-09-04,200
TCK-2190,High,Synthetic IT ticket #190,Assigned,data_scientist,2025-04-11,49
TCK-2191,High,Synthetic IT ticket #191,Closed,it_admin,2025-08-28,113
TCK-2192,Low,Synthetic IT ticket #192,Resolved,cyber_admin,2025-09-24,135
TCK-2193,Low,Synthetic IT ticket #193,Open,it_admin,2025-05-08,207
TCK-2194,Medium,Synthetic IT ticket #194,In Progress,data_scientist,2025-06-26,28
TCK-2195,Low,Synthetic IT ticket #195,Resolved,analyst1,2025-06-20,215
TCK-2196,Low,Synthetic IT ticket #196,In Progress,data_scientist,2025-04-02,28
TCK-2197,Low,Synthetic IT ticket #197,Open,analyst1,2025-09-01,147
TCK-2198,Medium,Synthetic IT ticket #198,Open,cyber_admin,2025-10-06,115
TCK-2199,High,Synthetic IT ticket #199,In Progress,analyst1,2025-04-04,202
TCK-2200,Low,Synthetic IT ticket #200,Assigned,data_scientist,2025-02-19,198
TCK-2201,Medium,Synthetic IT ticket #201,In Progress,analyst2,2025-08-18,44
TCK-2202,High,Synthetic IT ticket #202,Open,data_scientist,2025-11-22,24
TCK-2203,Critical,Synthetic IT ticket #203,Open,it_admin,2025-03-30,230
TCK-2204,Critical,Synthetic IT ticket #204,Resolved,analyst2,2025-07-29,220
TCK-2205,Critical,Synthetic IT ticket #205,Resolved,data_scientist,2025-07-03,68
TCK-2206,Low,Synthetic IT ticket #206,Resolved,analyst1,2025-10-14,10
TCK-2207,Critical,Synthetic IT ticket #207,Closed,analyst1,2025-11-14,47
TCK-2208,Medium,Synthetic IT ticket #208,Resolved,analyst2,2025-03-15,149
TCK-2209,Critical,Synthetic IT ticket #209,In Progress,data_scientist,2025-06-22,118
TCK-2210,Medium,Synthetic IT ticket #210,Closed,cyber_admin,2025-08-17,126
TCK-2211,Medium,Synthetic IT ticket #211,Resolved,analyst1,2025-03-15,200
TCK-2212,Low,Synthetic IT ticket #212,Resolved,analyst2,2025-08-04,78
TCK-2213,High,Synthetic IT ticket #213,Resolved,it_admin,2025-07-02,19
TCK-2214,Low,Synthetic IT ticket #214,Open,data_scientist,2025-11-05,115
TCK-2215,Medium,Synthetic IT ticket #215,Closed,it_admin,2025-06-15,137
TCK-2216,Low,Synthetic IT ticket #216,Open,analyst1,2025-03-21,61
TCK-2217,Medium,Synthetic IT ticket #217,Assigned,it_admin,2025-03-27,239
TCK-2218,Low,Synthetic IT ticket #218,Open,cyber_admin,2025-06-04,96
TCK-2219,Medium,Synthetic IT ticket #219,Closed,cyber_admin,2025-06-15,90
TCK-2220,High,Synthetic IT ticket #220,Assigned,analyst2,2025-07-02,112
TCK-2221,Critical,Synthetic IT ticket #221,In Progress,cyber_admin,2025-05-05,46
TCK-2222,High,Synthetic IT ticket #222,In Progress,analyst2,2025-12-09,213
TCK-2223,Low,Synthetic IT ticket #223,Open,analyst2,2025-03-08,213
TCK-2224,High,Synthetic IT ticket #224,Assigned,analyst2,2025-10-31,1
TCK-2225,Critical,Synthetic IT ticket #225,Open,cyber_admin,2025-07-02,162
TCK-2226,Medium,Synthetic IT ticket #226,Open,data_scientist,2025-10-04,237
TCK-2227,Low,Synthetic IT ticket #227,Open,data_scientist,2025-10-15,182
TCK-2228,Critical,Synthetic IT ticket #228,Closed,data_scientist,2025-07-22,118
TCK-2229,Medium,Synthetic IT ticket #229,Assigned,data_scientist,2025-07-28,203
TCK-2230,Critical,Synthetic IT ticket #230,Assigned,data_scientist,2025-09-06,132
TCK-2231,Low,Synthetic IT ticket #231,Closed,analyst1,2025-06-19,187
TCK-2232,Critical,Synthetic IT ticket #232,In Progress,analyst2,2025-05-05,207
TCK-2233,Critical,Synthetic IT ticket #233,In Progress,it_admin,2025-09-10,115
TCK-2234,High,Synthetic IT ticket #234,In Progress,it_admin,2025-08-18,25
TCK-2235,High,Synthetic IT ticket #235,In Progress,analyst1,2025-12-14,168
TCK-2236,Medium,Synthetic IT ticket #236,Open,analyst1,2025-03-29,75
TCK-2237,High,Synthetic IT ticket #237,Closed,cyber_admin,2025-02-22,108
TCK-2238,Low,Synthetic IT ticket #238,In Progress,it_admin,2025-12-06,240
TCK-2239,Low,Synthetic IT ticket #239,Assigned,analyst1,2025-08-06,37
TCK-2240,High,Synthetic IT ticket #240,Open,analyst1,2025-05-14,137
TCK-2241,Medium,Synthetic IT ticket #241,Open,analyst1,2025-03-25,218
TCK-2242,High,Synthetic IT ticket #242,Resolved,it_admin,2025-03-24,196
TCK-2243,High,Synthetic IT ticket #243,Assigned,it_admin,2025-10-25,222
TCK-2244,High,Synthetic IT ticket #244,Closed,it_admin,2025-05-28,208
TCK-2245,Low,Synthetic IT ticket #245,Assigned,analyst2,2025-05-04,41
TCK-2246,Medium,Synthetic IT ticket #246,Closed,it_admin,2025-11-27,11
TCK-2247,Low,Synthetic IT ticket #247,Resolved,it_admin,2025-06-13,120
TCK-2248,High,Synthetic IT ticket #248,Resolved,data_scientist,2025-09-01,26
TCK-2249,Critical,Synthetic IT ticket #249,Open,cyber_admin,2025-05-03,48
TCK-2250,High,Synthetic IT ticket #250,In Progress,it_admin,2025-10-25,234
TCK-2251,Low,Synthetic IT ticket #251,Open,it_admin,2025-04-05,44
TCK-2252,Critical,Synthetic IT ticket #252,In Progress,analyst1,2025-11-03,19
TCK-2253,Medium,Synthetic IT ticket #253,Resolved,analyst1,2025-10-29,47
TCK-2254,High,Synthetic IT ticket #254,Open,data_scientist,2025-06-17,100
TCK-2255,High,Synthetic IT ticket #255,In Progress,cyber_admin,2025-08-01,80
TCK-2256,Medium,Synthetic IT ticket #256,Assigned,cyber_admin,2025-12-01,36
TCK-2257,Critical,Synthetic IT ticket #257,In Progress,it_admin,2025-04-23,74
TCK-2258,High,Synthetic IT ticket #258,Resolved,analyst2,2025-04-05,210
TCK-2259,Medium,Synthetic IT ticket #259,Assigned,it_admin,2025-07-25,135
TCK-2260,Medium,Synthetic IT ticket #260,Open,it_admin,2025-03-06,78
TCK-2261,Critical,Synthetic IT ticket #261,Closed,cyber_admin,2025-06-30,133
TCK-2262,Medium,Synthetic IT ticket #262,Closed,data_scientist,2025-08-11,231
TCK-2263,Low,Synthetic IT ticket #263,Closed,cyber_admin,2025-04-05,21
TCK-2264,High,Synthetic IT ticket #264,In Progress,cyber_admin,2025-03-24,240
TCK-2265,Critical,Synthetic IT ticket #265,In Progress,analyst1,2025-12-01,145
TCK-2266,High,Synthetic IT ticket #266,Resolved,data_scientist,2025-08-19,56
TCK-2267,Medium,Synthetic IT ticket #267,Assigned,analyst2,2025-07-03,110
TCK-2268,High,Synthetic IT ticket #268,In Progress,analyst2,2025-09-10,88
TCK-2269,High,Synthetic IT ticket #269,Closed,cyber_admin,2025-02-20,114
TCK-2270,Critical,Synthetic IT ticket #270,Open,analyst2,2025-11-21,178
TCK-2271,Low,Synthetic IT ticket #271,Closed,it_admin,2025-10-15,88
TCK-2272,Critical,Synthetic IT ticket #272,In Progress,data_scientist,2025-10-31,129
TCK-2273,Medium,Synthetic IT ticket #273,Closed,data_scientist,2025-09-06,130
TCK-2274,Low,Synthetic IT ticket #274,Open,it_admin,2025-07-11,79
TCK-2275,Critical,Synthetic IT ticket #275,Open,cyber_admin,2025-09-15,23
TCK-2276,Medium,Synthetic IT ticket #276,Resolved,cyber_admin,2025-05-26,136
TCK-2277,Critical,Synthetic IT ticket #277,Resolved,analyst1,2025-03-15,2
TCK-2278,Low,Synthetic IT ticket #278,Closed,cyber_admin,2025-07-31,20
TCK-2279,Low,Synthetic IT ticket #279,Open,it_admin,2025-08-16,77
TCK-2280,Critical,Synthetic IT ticket #280,Resolved,analyst2,2025-07-09,224
TCK-2281,High,Synthetic IT ticket #281,Resolved,analyst2,2025-10-11,153
TCK-2282,High,Synthetic IT ticket #282,Assigned,cyber_admin,2025-04-08,230
TCK-2283,Critical,Synthetic IT ticket #283,Open,data_scientist,2025-12-02,229
TCK-2284,Low,Synthetic IT ticket #284,Assigned,analyst1,2025-10-20,119
TCK-2285,Medium,Synthetic IT ticket #285,Open,analyst2,2025-09-13,181
TCK-2286,High,Synthetic IT ticket #286,Assigned,it_admin,2025-02-28,11
TCK-2287,Critical,Synthetic IT ticket #287,Resolved,analyst2,2025-03-04,77
TCK-2288,Medium,Synthetic IT ticket #288,Open,it_admin,2025-03-22,104
TCK-2289,Low,Synthetic IT ticket #289,Assigned,analyst2,2025-09-14,81
TCK-2290,Medium,Synthetic IT ticket #290,Assigned,analyst2,2025-03-08,172
TCK-2291,High,Synthetic IT ticket #291,Open,analyst1,2025-03-13,188
TCK-2292,High,Synthetic IT ticket #292,In Progress,cyber_admin,2025-08-19,138
TCK-2293,High,Synthetic IT ticket #293,Closed,analyst2,2025-08-20,183
TCK-2294,Medium,Synthetic IT ticket #294,Closed,data_scientist,2025-04-12,224
TCK-2295,Medium,Synthetic IT ticket #295,Open,it_admin,2025-06-16,152
TCK-2296,Medium,Synthetic IT ticket #296,Assigned,analyst1,2025-07-11,16
TCK-2297,Critical,Synthetic IT ticket #297,Assigned,analyst2,2025-11-28,119
TCK-2298,Medium,Synthetic IT ticket #298,Resolved,data_scientist,2025-11-18,135
TCK-2299,Medium,Synthetic IT ticket #299,Open,data_scientist,2025-04-01,20
TCK-2300,Critical,Synthetic IT ticket #300,Resolved,data_scientist,2025-03-26,179
TCK-2301,High,Synthetic IT ticket #301,Open,it_admin,2025-04-16,169
TCK-2302,Critical,Synthetic IT ticket #302,Resolved,cyber_admin,2025-07-21,202
TCK-2303,Medium,Synthetic IT ticket #303,Resolved,it_admin,2025-10-31,150
TCK-2304,Low,Synthetic IT ticket #304,In Progress,cyber_admin,2025-09-14,178
TCK-2305,High,Synthetic IT ticket #305,Assigned,analyst2,2025-11-04,155
TCK-2306,Critical,Synthetic IT ticket #306,Assigned,cyber_admin,2025-09-06,14
TCK-2307,High,Synthetic IT ticket #307,Assigned,it_admin,2025-07-09,199
TCK-2308,Medium,Synthetic IT ticket #308,In Progress,analyst1,2025-05-07,146
TCK-2309,Critical,Synthetic IT ticket #309,Assigned,data_scientist,2025-05-20,234
TCK-2310,Low,Synthetic IT ticket #310,In Progress,analyst2,2025-06-23,24
TCK-2311,Critical,Synthetic IT ticket #311,Open,it_admin,2025-11-21,141
TCK-2312,Critical,Synthetic IT ticket #312,Open,data_scientist,2025-08-16,74
TCK-2313,Critical,Synthetic IT ticket #313,Assigned,data_scientist,2025-05-24,121
TCK-2314,Medium,Synthetic IT ticket #314,Assigned,analyst1,2025-08-25,120
TCK-2315,High,Synthetic IT ticket #315,Open,it_admin,2025-11-27,21
TCK-2316,High,Synthetic IT ticket #316,Assigned,data_scientist,2025-09-10,37
TCK-2317,Critical,Synthetic IT ticket #317,In Progress,cyber_admin,2025-05-24,34
TCK-2318,Medium,Synthetic IT ticket #318,Assigned,analyst2,2025-09-06,176
TCK-2319,Low,Synthetic IT ticket #319,In Progress,it_admin,2025-07-21,108
TCK-2320,High,Synthetic IT ticket #320,In Progress,it_admin,2025-05-14,197
TCK-2321,Critical,Synthetic IT ticket #321,Open,analyst2,2025-12-04,67
TCK-2322,Critical,Synthetic IT ticket #322,In Progress,it_admin,2025-03-27,199
TCK-2323,Low,Synthetic IT ticket #323,Resolved,it_admin,2025-09-16,97
TCK-2324,Medium,Synthetic IT ticket #324,Closed,analyst1,2025-07-06,156
TCK-2325,Critical,Synthetic IT ticket #325,In Progress,analyst2,2025-05-08,50
TCK-2326,High,Synthetic IT ticket #326,Closed,it_admin,2025-04-15,5
TCK-2327,Low,Synthetic IT ticket #327,Closed,analyst1,2025-09-25,141
TCK-2328,Medium,Synthetic IT ticket #328,Closed,data_scientist,2025-07-23,109
TCK-2329,High,Synthetic IT ticket #329,Resolved,analyst1,2025-05-30,134
